Survei Seismik :  92JA
Datum Lama : Genuk				
Sistem Koordinat : UTM				
Zone : 48 S 				
TITIK		xlama		ylama		Xbaru		Ybaru
92JA-BM.004	315488.836	9852374.017	315666.037	9852325.167
92JA-BM.007	320693.219	9849607.471	320869.592	9849563.879
92JA-BM.009	323303.04	9849952.581	323478.382	9849910.238
92JA-BM.013	327425.331	9847459.045	327601.424	9847416.220
92JA-BM.015	330565.465	9846475.536	330742.359	9846430.634
92JA-BM.017	331570.509	9844650.54	331745.126	9844603.336
92JA-BM.022	333539.577	9836762.658	333715.631	9836713.657
92JA-BM.097	307406.524	9812897.228	307590.867	9812848.650
